,index,origin,Setor,Freguesia,Ano/Mês,Nº de operações,Valor das operações,prob,Mês,Ano
177,2194,non-local,"Bares, Cafés e Similares",ARU/ORU da Corujeira,Nov 21,723,17019.33,0.14333862014274384,11,21
186,2203,non-local,"Bares, Cafés e Similares",ARU/ORU de Campanhã - Estação,Nov 21,113,792.18,0.01746792394496831,11,21
195,2212,non-local,"Bares, Cafés e Similares",ARU/ORU do Centro Histórico,Nov 21,20093,354681.57,0.4494475014539435,11,21
204,2221,non-local,"Bares, Cafés e Similares",Bonfim,Nov 21,1904,67522.98,0.06474648893120685,11,21
213,2230,non-local,"Bares, Cafés e Similares",Campanhã,Nov 21,101,956.2099999999999,0.00938312894834634,11,21
222,2239,non-local,"Bares, Cafés e Similares",Paranhos,Nov 21,845,28847.46,0.027074655559115667,11,21
231,2248,non-local,"Bares, Cafés e Similares",Ramalde,Nov 21,128,2286.3199999999997,0.005866446674916357,11,21
237,2254,non-local,"Bares, Cafés e Similares","União das freguesias de Aldoar, Foz do Douro e Nevogilde",Nov 21,4660,133238.66,0.16187300263998888,11,21
246,2263,non-local,"Bares, Cafés e Similares","União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Nov 21,74564,1331392.98,0.27795525965578044,11,21
255,2272,non-local,"Bares, Cafés e Similares",União das freguesias de Lordelo do Ouro e Massarelos,Nov 21,1867,25608.09,0.06356177441868383,11,21
267,3282,non-local,Restaurantes,ARU/ORU de Campanhã - Estação,Nov 21,1417,24051.98,0.1119008133933507,11,21
276,3291,non-local,Restaurantes,ARU/ORU do Centro Histórico,Nov 21,64656,1917318.14,0.4177823727061256,11,21
285,3300,non-local,Restaurantes,Bonfim,Nov 21,2486,75606.14,0.046031070046475456,11,21
294,3309,non-local,Restaurantes,Campanhã,Nov 21,3014,38117.71,0.05582101715005371,11,21
303,3318,non-local,Restaurantes,Paranhos,Nov 21,2507,72304.4,0.025602271218635432,11,21
312,3327,non-local,Restaurantes,Ramalde,Nov 21,1314,36318.46,0.019965053559219022,11,21
321,3336,non-local,Restaurantes,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Nov 21,5498,262106.94,0.08534351619012139,11,21
330,3345,non-local,Restaurantes,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Nov 21,131713,4180906.04,0.2808193914687942,11,21
339,3354,non-local,Restaurantes,União das freguesias de Lordelo do Ouro e Massarelos,Nov 21,8235,274487.47,0.0697184171760443,11,21
171,2188,non-local,"Bares, Cafés e Similares",ARU/ORU da Corujeira,Dez 21,622,15147.74,0.09646401985111662,12,21
179,2196,non-local,"Bares, Cafés e Similares",ARU/ORU de Campanhã - Estação,Dez 21,238,3676.0,0.021437578814627996,12,21
188,2205,non-local,"Bares, Cafés e Similares",ARU/ORU do Centro Histórico,Dez 21,23474,435337.74,0.3767655367231638,12,21
197,2214,non-local,"Bares, Cafés e Similares",Bonfim,Dez 21,3192,90086.42,0.05411453565252772,12,21
206,2223,non-local,"Bares, Cafés e Similares",Campanhã,Dez 21,264,2664.42,0.011826897231430876,12,21
215,2232,non-local,"Bares, Cafés e Similares",Paranhos,Dez 21,1234,34589.74,0.022068028184126755,12,21
224,2241,non-local,"Bares, Cafés e Similares",Ramalde,Dez 21,136,1922.78,0.003228103489200095,12,21
232,2249,non-local,"Bares, Cafés e Similares","União das freguesias de Aldoar, Foz do Douro e Nevogilde",Dez 21,5004,127754.74,0.09897151898734177,12,21
239,2256,non-local,"Bares, Cafés e Similares","União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Dez 21,100842,1843120.56,0.2235201283818829,12,21
248,2265,non-local,"Bares, Cafés e Similares",União das freguesias de Lordelo do Ouro e Massarelos,Dez 21,2482,39435.56,0.046180180850667954,12,21
260,3275,non-local,Restaurantes,ARU/ORU de Campanhã - Estação,Dez 21,2138,33395.42,0.09541235273116744,12,21
269,3284,non-local,Restaurantes,ARU/ORU do Centro Histórico,Dez 21,84900,2465423.06,0.3145935851070137,12,21
278,3293,non-local,Restaurantes,Bonfim,Dez 21,4544,124839.98,0.03919741904318272,12,21
287,3302,non-local,Restaurantes,Campanhã,Dez 21,6890,97348.98,0.05505921462705173,12,21
296,3311,non-local,Restaurantes,Paranhos,Dez 21,4640,130728.58,0.02524510604032688,12,21
305,3320,non-local,Restaurantes,Ramalde,Dez 21,2916,82527.86,0.02218401472848166,12,21
314,3329,non-local,Restaurantes,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Dez 21,7244,362360.94,0.06314394797859173,12,21
323,3338,non-local,Restaurantes,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Dez 21,179874,5644486.34,0.2144804149526024,12,21
332,3347,non-local,Restaurantes,União das freguesias de Lordelo do Ouro e Massarelos,Dez 21,13150,469226.14,0.057021195407083634,12,21
173,2190,non-local,"Bares, Cafés e Similares",ARU/ORU da Corujeira,Jan 22,279,5753.25,0.03805237315875614,1,22
181,2198,non-local,"Bares, Cafés e Similares",ARU/ORU de Campanhã - Estação,Jan 22,87,1466.1,0.0060303597421501355,1,22
190,2207,non-local,"Bares, Cafés e Similares",ARU/ORU do Centro Histórico,Jan 22,24741,429771.21,0.3348491615575135,1,22
199,2216,non-local,"Bares, Cafés e Similares",Bonfim,Jan 22,3090,76953.12,0.044872353402457085,1,22
208,2225,non-local,"Bares, Cafés e Similares",Campanhã,Jan 22,129,1830.27,0.0048620533695160565,1,22
217,2234,non-local,"Bares, Cafés e Similares",Paranhos,Jan 22,1614,31543.8,0.02062804340324374,1,22
226,2243,non-local,"Bares, Cafés e Similares",Ramalde,Jan 22,216,2896.23,0.003562592775853538,1,22
234,2251,non-local,"Bares, Cafés e Similares","União das freguesias de Aldoar, Foz do Douro e Nevogilde",Jan 22,7896,216014.97,0.09886559987979866,1,22
241,2258,non-local,"Bares, Cafés e Similares","União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Jan 22,107244,1719711.15,0.19989822793587242,1,22
250,2267,non-local,"Bares, Cafés e Similares",União das freguesias de Lordelo do Ouro e Massarelos,Jan 22,2742,36912.96,0.04127901725228073,1,22
262,3277,non-local,Restaurantes,ARU/ORU de Campanhã - Estação,Jan 22,1995,31488.69,0.07194633776912258,1,22
